sigma_b,obs_per_cycle,reliability,n_cycles,total_obs_per_subj,recovery,crit1_effectsize,crit2_lrt,n_sims
0.1,2,0.6,2,4,0.318,1.0,0.318,500
0.1,3,0.55,2,6,0.074,0.998,0.074,500
0.1,3,0.85,2,6,0.118,0.998,0.118,500
0.1,5,0.8,2,10,0.548,0.986,0.55,500
0.1,7,0.75,2,14,0.858,0.958,0.882,500
0.1,10,0.7,2,20,0.86,0.878,0.96,500
0.1,14,0.65,2,28,0.772,0.774,0.988,500
0.1,21,0.6,2,42,0.514,0.514,0.996,500
0.1,28,0.55,2,56,0.364,0.364,1.0,500
0.1,28,0.85,2,56,0.838,0.838,1.0,500
