sigma_b,obs_per_cycle,reliability,n_cycles,total_obs_per_subj,recovery,crit1_effectsize,crit2_lrt,n_sims
0.1,2,0.8,2,4,0.512,1.0,0.512,500
0.1,3,0.75,2,6,0.124,1.0,0.124,500
0.1,5,0.7,2,10,0.448,0.978,0.45,500
0.1,7,0.65,2,14,0.788,0.98,0.794,500
0.1,10,0.6,2,20,0.76,0.806,0.9,500
0.1,14,0.55,2,28,0.626,0.63,0.974,500
0.1,14,0.85,2,28,0.916,0.916,1.0,500
0.1,21,0.8,2,42,0.802,0.802,1.0,500
0.1,28,0.75,2,56,0.698,0.698,1.0,500
