sigma_b,obs_per_cycle,reliability,n_cycles,total_obs_per_subj,recovery,crit1_effectsize,crit2_lrt,n_sims
0.1,2,0.7,2,4,0.444,1.0,0.444,500
0.1,3,0.65,2,6,0.08,1.0,0.08,500
0.1,5,0.6,2,10,0.364,0.978,0.37,500
0.1,7,0.55,2,14,0.652,0.922,0.668,500
0.1,7,0.85,2,14,0.912,0.978,0.924,500
0.1,10,0.8,2,20,0.926,0.934,0.99,500
0.1,14,0.75,2,28,0.816,0.816,0.998,500
0.1,21,0.7,2,42,0.698,0.698,0.996,500
0.1,28,0.65,2,56,0.506,0.506,1.0,500
