sigma_b,obs_per_cycle,reliability,n_cycles,total_obs_per_subj,recovery,crit1_effectsize,crit2_lrt,n_sims
0.1,2,0.55,2,4,0.268,1.0,0.268,500
0.1,2,0.85,2,4,0.614,1.0,0.614,500
0.1,3,0.8,2,6,0.146,0.996,0.146,500
0.1,5,0.75,2,10,0.484,0.98,0.484,500
0.1,7,0.7,2,14,0.83,0.97,0.844,500
0.1,10,0.65,2,20,0.826,0.862,0.936,500
0.1,14,0.6,2,28,0.682,0.684,0.986,500
0.1,21,0.55,2,42,0.46,0.46,1.0,500
0.1,21,0.85,2,42,0.812,0.812,1.0,500
0.1,28,0.8,2,56,0.74,0.74,1.0,500
