sigma_b,obs_per_cycle,reliability,n_cycles,total_obs_per_subj,recovery,crit1_effectsize,crit2_lrt,n_sims
0.1,2,0.75,2,4,0.504,1.0,0.504,500
0.1,3,0.7,2,6,0.118,1.0,0.118,500
0.1,5,0.65,2,10,0.394,0.976,0.394,500
0.1,7,0.6,2,14,0.702,0.942,0.724,500
0.1,10,0.55,2,20,0.698,0.76,0.866,500
0.1,10,0.85,2,20,0.94,0.944,0.992,500
0.1,14,0.8,2,28,0.888,0.888,0.998,500
0.1,21,0.75,2,42,0.766,0.766,1.0,500
0.1,28,0.7,2,56,0.588,0.588,1.0,500
